Column1;Column2;Column3
Population;Intervention;Outcome
machine learning;measure;energy
deep learning;measurement;power
computing;estimate;carbon
information and communications technology;estimation;footprint
ICT;consumed;emissions
artificial intelligence;consumption;environmental impact
AI;impact;
natural language processing;predict;
NLP;prediction;
convolutional neural network;predictive;
convolutional neural networks;track;
CNN;tracking;
deep neural network;report;
deep neural networks;reports;
DNN;reporting;
computation;account;
computations;quantify;
algorithm;quantifying;
algorithms;monitor;
algorithmic;monitoring;
software;compute;
process;computing;
processes;calculate;
green;calculating;
server;evaluate;
virtual machine;evaluating;
computer;;
